id,username,created_at,lng,lat,text
1.51838E+18,bball_culture,Mon Apr 25 00:14:33 +0000 2022,-86.1429225,39.7795625,🏀🏀🏀Shout out to my Great 8!New squad but they look like they have been playing together for years!Nobody gave… https://t.co/K2x5Xc9aH9
1.51838E+18,63669698vbvz,Mon Apr 25 00:14:33 +0000 2022,-123.191617,45.212448,Who is or has been the first to have a @VinnieHager sleeve? The Tat of Tats #vinniehagertattoo
1.51838E+18,TouchedByTae,Mon Apr 25 00:14:33 +0000 2022,-84.433106,33.7671945,Miami giving Atlanta a run for they money #hawks
1.51838E+18,mdavidruff,Mon Apr 25 00:14:33 +0000 2022,-121.469664,38.561722,@kingubuofpoland Never been to New England but it looks beautiful!!
1.51838E+18,anthony_novy24,Mon Apr 25 00:14:33 +0000 2022,-91.6366735,44.0386895,Keep booing Grayson. Please. He feeds off it 😤😤
1.51838E+18,bi_diorjones,Mon Apr 25 00:14:33 +0000 2022,-87.732013,41.8335845,@FROZESTAN I hate bitches like u cuz why tf are u assuming  just stop it not cute your embarrassing yo fav and yo co-works
1.51838E+18,GenieRougeau,Mon Apr 25 00:14:33 +0000 2022,-100.0768885,31.1688935,@GarySonnyChiba My husband has to have Bean Drip every time We go Camping 🏕  It's a Rule ❤️❤️❤️💯
1.51838E+18,Elizaul_,Mon Apr 25 00:14:34 +0000 2022,-81.3677725,28.5016785,This ain’t what you wanttttt
1.51838E+18,critsergolf,Mon Apr 25 00:14:34 +0000 2022,-122.4359785,37.7706565,710 Ashbury https://t.co/xbUC6RJE6N
1.51838E+18,VicsMovieDen,Mon Apr 25 00:14:34 +0000 2022,-75.770041,42.746617,@Seeker_Among_U Thank you! 😁
1.51838E+18,BillyP325,Mon Apr 25 00:14:34 +0000 2022,-71.1857425,42.7323365,@ShukriWrights OK didn’t do my research. I always see you in Boston gear. Didn’t know you loved the Yankees. Anyway… https://t.co/jMTHqrQAzv
1.51838E+18,KimmichLouise,Mon Apr 25 00:14:35 +0000 2022,-82.6694675,40.3651595,"@piper4missouri @Gwendolyn679 Yes, teachers are working harder than ever and are not making what they're worth."
1.51838E+18,graubart,Mon Apr 25 00:14:35 +0000 2022,-73.856858,41.035301,"@danprimack @benedictevans Well, tbf, maybe earth subways…"
1.51838E+18,zLevin_,Mon Apr 25 00:14:36 +0000 2022,-79.9135205,43.2606955,@residuaI neat list I really like fearmonger too
1.51838E+18,Jimthefte,Mon Apr 25 00:14:35 +0000 2022,-80.5435365,41.202543,@DanielleLuvsBJs Got my pup with me 24/7 https://t.co/eOJgYJUrJF
1.51838E+18,Darealseanmoney,Mon Apr 25 00:14:36 +0000 2022,-80.8467855,35.209059,@5_bandz That legacy of becoming a Grand Slam Champion in WWE.
1.51838E+18,deonsirvaysos,Mon Apr 25 00:14:36 +0000 2022,-121.8737305,37.331159,#GSW still the best team in the nba playoffs. #freethrows #in5
1.51838E+18,Nico_BR06,Mon Apr 25 00:14:36 +0000 2022,-86.5963,34.7123,"Just posted a photo @ Huntsville, Alabama https://t.co/wVMV77OGkv"
1.51838E+18,dild0sNcupcakes,Mon Apr 25 00:14:37 +0000 2022,-104.9220935,39.713563,Y’all think this was a look but Symone’s I wasn’t???? Okay.
1.51838E+18,A_Moricz,Mon Apr 25 00:14:37 +0000 2022,-75.8001415,45.248791,There has always been a racist element in France.
1.51838E+18,BOSSBRATBIMBO,Mon Apr 25 00:14:37 +0000 2022,-80.2333285,25.7823535,u ask a whore her price and she wanna act confused. bitch that’s how I know ur a flop at sw
1.51838E+18,victoriaaprice4,Mon Apr 25 00:14:37 +0000 2022,-84.266174,30.4762155,@FowlerThanEver Brilliant
1.51838E+18,tharmonson,Mon Apr 25 00:14:37 +0000 2022,-117.851089,33.842863,Love seeing all the @AnaheimDucks in No. 15 for warm-ups prior to Ryan Getzlaf’s final game. https://t.co/XCe541qwaL
1.51838E+18,squeeezze,Mon Apr 25 00:14:37 +0000 2022,-115.223125,36.232915,@NFTLasVegas I had some down time to research.
1.51838E+18,SCSpiritualLife,Mon Apr 25 00:14:37 +0000 2022,-72.55661309,42.10225441,"Last @springfieldcollegefca Huddle of the year, celebrating our seniors. @ Springfield College https://t.co/nDjvVz0P23"
1.51838E+18,derickijohnson,Mon Apr 25 00:14:38 +0000 2022,-97.2859135,32.7799665,@swanson_dc Love this!👏👏👏👏
1.51838E+18,bjcoar,Mon Apr 25 00:14:38 +0000 2022,-86.797019,41.671926,@laurenboebert Shut up
1.51838E+18,Mattysquerades,Mon Apr 25 00:14:38 +0000 2022,-77.375867,38.9959245,Lisa needs to stop locking up Molly #TheSimpsons
1.51838E+18,AdventureEdGuy,Mon Apr 25 00:14:38 +0000 2022,-74.2679795,40.736985,"@annaforcelledo @SHAPE_America I’m an HONEST guy, so I must confess that @BoShappell made the Videos for our COMCHI… https://t.co/6GjzztmBGe"
1.51838E+18,SusanDanzig219,Mon Apr 25 00:14:38 +0000 2022,-87.732013,41.8335845,@DaniellaMicaela @DanaBashCNN She's getting on my last nerve.
1.51838E+18,GlamaWayne,Mon Apr 25 00:14:38 +0000 2022,-79.2725695,43.629311,"Once Guillermo reaches the airport, Immigration is gonna Fuck Up him Bloodclot with his expired passport.Yuh Nuh… https://t.co/5qB3rzTsev"
1.51838E+18,joelramosxx,Mon Apr 25 00:14:38 +0000 2022,-100.0768885,31.1688935,@ahiiitza me too 🧍🏻‍♀️
1.51838E+18,JeanAnnSutton,Mon Apr 25 00:14:39 +0000 2022,-85.7682405,37.822244,@Braves @andruwjones25 Happy Birthday
1.51838E+18,FesePorter,Mon Apr 25 00:14:39 +0000 2022,-84.578994,33.5511505,🤣🤣🤣 I’m crying called that man a hoochie ctfuuuu
1.51838E+18,SANDALIOCARMONA,Mon Apr 25 00:14:39 +0000 2022,-80.3046625,25.857732,I just voted for @musicbyLadyK on @AmericanIdol! Vote for your favorites now! #AmericanIdol https://t.co/bu7UktzUkq
1.51838E+18,Liberalminded13,Mon Apr 25 00:14:39 +0000 2022,-78.166489,43.8136735,@LTrying2 @lutesgre @johnpavlovitz @RyanZinke Yes. All part of a delta of problems requiring complex solutions that… https://t.co/7TlPHjEXTj
1.51838E+18,RyansCardssLLC,Mon Apr 25 00:14:39 +0000 2022,-83.1738665,32.6782075,UH WHAT HELLO SNAP TAKE
1.51838E+18,surething_nyc,Mon Apr 25 00:14:39 +0000 2022,-73.9487755,40.655138,Tuesday night in Bushwick https://t.co/VHEbZYDwLk
1.51838E+18,goodgirlcas,Mon Apr 25 00:14:39 +0000 2022,-89.028487,30.39663,"Lifting weights with acrylics on for the first time, thoughts and prayers pls https://t.co/c40TXTcciE"
1.51838E+18,JMCFischre,Mon Apr 25 00:14:39 +0000 2022,-72.6809665,41.765617,@kingzamunda09 @433 Feels like since they beat Real they emotionally burnt out as young teams do with wins like that
1.51838E+18,janjowen,Mon Apr 25 00:14:40 +0000 2022,-86.6807375,32.576227,@Chapl37 That’s so good. We all need that reminder. I know I do.
1.51838E+18,seand6711,Mon Apr 25 00:14:40 +0000 2022,-84.387276,33.758212,“Stairway To Heaven” 📸🏙🌤 @downtownatlanta @seand6711 #atlanta #sky #citygram #perspective #cloudy #stairwaytoheaven… https://t.co/8aJzsj4XDB
1.51838E+18,Heather_Caroga,Mon Apr 25 00:14:40 +0000 2022,-111.8583985,33.63934,Who wants @DCComics to publicly confirm that @Todd_McFarlane’s Batman on @veve_official is the first licensed DC/Wa… https://t.co/1KRZqiOVrX
1.51838E+18,stjezabell,Mon Apr 25 00:14:40 +0000 2022,-73.320828,40.881215,"@basma_beydoun @JeSuis_Faith Scorpio. And yes, to some extent."
1.51838E+18,DumbbellJunkie,Mon Apr 25 00:14:41 +0000 2022,-95.6793355,29.679715,I can’t shake a man’s hand if his nails is painted.
1.51838E+18,TheRealAugDog,Mon Apr 25 00:14:41 +0000 2022,-95.913642,36.1093915,This report makes me think that this is a done deal. @elonmusk has got Twitter in the bag.#HereForIt #SundayFunday
1.51838E+18,thatonehouze,Mon Apr 25 00:14:41 +0000 2022,-84.296906,33.7722075,@vintage_monroee I want it 😩😩😩😩
1.51838E+18,peteryanes,Mon Apr 25 00:14:41 +0000 2022,-86.791549,36.200008,@JoWiKi @NAMB_SBC So encouraging.
